publication_number,cosine_distance,cosine_similarity
JP-S483397-Y1,0.0,1.0
JP-S484011-Y1,0.0,1.0
JP-S4913423-Y1,0.0,1.0
JP-S5032706-Y1,0.0,1.0
JP-S4822855-B1,0.0,1.0
JP-S49953-B1,0.0,1.0
JP-S493972-B1,0.0,1.0
JP-S4921883-B1,0.0,1.0
JP-S5032465-B1,0.0,1.0
JP-S4840604-Y1,0.0,1.0
JP-S4826744-Y1,0.0,1.0
JP-S4935052-B1,0.0,1.0
JP-S5036570-B1,0.0,1.0
JP-S4840913-B1,0.0,1.0
JP-S5014881-B1,0.0,1.0
JP-S4838455-B1,0.0,1.0
JP-S5027259-Y1,0.0,1.0
JP-S5116575-Y1,0.0,1.0
JP-S4917260-Y1,0.0,1.0
JP-S471057-Y1,0.0,1.0
JP-S4713754-Y1,0.0,1.0
JP-S4925922-Y1,0.0,1.0
JP-S547963-B1,0.0,1.0
JP-S4929633-Y1,0.0,1.0
JP-S4911274-Y1,0.0,1.0
JP-S4820599-Y1,0.0,1.0
JP-S4837514-Y1,0.0,1.0
JP-S4818566-B1,0.0,1.0
JP-S4811925-B1,0.0,1.0
JP-S475510-Y1,0.0,1.0
JP-S4919904-Y1,0.0,1.0
JP-S4815961-Y1,0.0,1.0
JP-S4737592-Y1,0.0,1.0
JP-S4827944-B1,0.0,1.0
JP-S4917560-Y1,0.0,1.0
JP-S5729451-B1,0.0,1.0
JP-S4741124-Y1,0.0,1.0
JP-S5015531-Y1,0.0,1.0
JP-S4715048-Y1,0.0,1.0
JP-S4941986-B1,0.0,1.0
JP-S4833257-B1,0.0,1.0
JP-S5124228-B1,0.0,1.0
JP-S4636291-Y1,0.0,1.0
JP-S4731216-Y1,0.0,1.0
JP-S493842-B1,0.0,1.0
JP-S5012808-Y1,0.0,1.0
JP-S5040817-Y1,0.0,1.0
JP-S5128581-Y1,0.0,1.0
JP-S4746763-B1,0.0,1.0
JP-S5535485-B1,0.0,1.0
JP-S505543-B1,0.0,1.0
JP-S4712348-Y1,0.0,1.0
JP-S4835979-B1,0.0,1.0
JP-S4819296-B1,0.0,1.0
JP-S456537-Y1,0.0,1.0
JP-S4837154-B1,0.0,1.0
JP-S493643-Y1,0.0,1.0
JP-S5034990-Y1,0.0,1.0
JP-S502546-Y1,0.0,1.0
JP-S4912419-B1,0.0,1.0
JP-S5017276-B1,0.0,1.0
JP-S495120-B1,0.0,1.0
